date,Sleep Score
2023-09-17,78
2023-09-18,81
2023-09-19,69
2023-09-20,77
2023-09-21,76
2023-09-22,75
2023-09-23,86
2023-09-24,68
2023-09-25,84
2023-09-26,88
2023-09-27,76
2023-09-28,68
2023-09-30,49
2023-10-01,62
2023-10-02,49
2023-10-03,73
2023-10-04,72
2023-10-09,78
2023-10-10,65
2023-10-12,56
2023-10-13,62
2023-10-14,78
2023-10-17,57
2023-10-18,59
2023-10-19,70
2023-10-22,86
2023-10-23,65
2023-10-24,57
2023-10-26,74
2023-10-27,57
2023-10-28,70
2023-10-31,86
2023-11-04,76
2023-11-11,67
2023-11-13,68
2023-11-14,80
2023-11-15,50
2023-11-20,42
2023-11-21,82
2023-11-22,60
2023-11-23,41
2023-11-24,88
2023-11-25,78
2023-11-26,75
2023-11-28,76
2023-11-29,40
2023-12-03,88
2023-12-04,65
2023-12-05,67
2023-12-14,65
2023-12-15,69
2023-12-19,58
2023-12-20,68
2023-12-23,52
2023-12-24,76
2024-01-02,57
2024-01-03,70
2024-01-04,69
2024-01-05,66
2024-01-09,78
2024-01-10,75
2024-01-11,66
2024-01-12,63
2024-01-13,58
2024-01-23,56
2024-01-24,72
2024-01-26,67
2024-01-28,62
2024-01-29,67
2024-01-30,40
2024-01-31,67
2024-02-01,40
2024-02-03,80
2024-02-04,69
2024-02-05,90
2024-02-06,68
2024-02-13,63
2024-02-14,82
2024-02-15,69
2024-02-17,83
2024-02-18,58
2024-02-19,71
2024-02-21,55
2024-02-22,84
2024-02-23,66
2024-02-24,59
2024-02-27,70
2024-02-28,60
2024-02-29,73
2024-03-01,71
2024-03-02,70
2024-03-03,83
2024-03-04,72
2024-03-08,75
2024-03-09,66
2024-03-10,77
2024-03-11,85
2024-03-12,84
2024-03-13,87
2024-03-15,71
2024-03-16,45
2024-03-19,82
2024-03-20,90
2024-03-21,48
2024-03-22,73
2024-03-23,72
2024-03-24,56
2024-03-25,71
2024-03-30,78
2024-03-31,83
2024-04-01,76
2024-04-02,66
2024-04-03,69
2024-04-05,70
2024-04-06,73
2024-04-07,69
2024-04-09,70
2024-04-10,61
2024-04-16,72
2024-04-17,70
2024-04-18,61
2024-04-23,75
2024-04-24,41
2024-04-25,46
2024-04-29,78
2024-04-30,71
2024-05-01,78
2024-05-02,77
2024-05-03,72
2024-05-04,60
2024-05-07,69
2024-05-08,59
2024-05-09,74
2024-05-15,86
2024-06-02,88
2024-06-03,64
2024-06-04,73
2024-06-05,80
2024-06-06,81
2024-06-07,71
